call_id,ticker,call_date,alpha,beta,r2,abnormal_ret_1d,abnormal_vol_1d,abnormal_ret_3d,abnormal_vol_3d,abnormal_ret_7d,abnormal_vol_7d
KMB_20170424,KMB,2017-04-24,-0.00046717524193848667,0.5621968102108102,0.1042455108638328,-0.0023304501216075517,0.0023304501216075517,-0.0060081418185811315,0.0060081418185811315,-0.03116729114287884,0.03116729114287884
TRST_20170424,TRST,2017-04-24,-2.3505625592647184e-09,1.0000024619042234,0.9999999966457722,-1.7639709951056126e-07,1.7639709951056126e-07,-1.8542390711089648e-07,1.8542390711089648e-07,-2.5206592152443455e-07,2.5206592152443455e-07
CAT_20170425,CAT,2017-04-25,0.00044606977636737,1.5517129695846312,0.3343339861633035,0.06913275354403355,0.06913275354403355,0.0512944398972692,0.0512944398972692,0.03913968467426004,0.03913968467426004
CBU_20170425,CBU,2017-04-25,-3.5764685823351863e-09,1.000005870106871,0.9999999978231793,1.9200529615629597e-07,1.9200529615629597e-07,-1.707485392682959e-07,1.707485392682959e-07,2.874677303913299e-07,2.874677303913299e-07
LMT_20170425,LMT,2017-04-25,-1.0983137923442632e-09,1.0000004740920663,0.9999999975412446,-1.509130712305795e-07,1.509130712305795e-07,-1.4881608307790433e-07,1.4881608307790433e-07,-2.1548923257141668e-07,2.1548923257141668e-07
MMM_20170425,MMM,2017-04-25,8.554341929995824e-05,0.7877317856563705,0.35735219367272875,-3.55796182740023e-05,3.55796182740023e-05,0.004654287211133602,0.004654287211133602,0.01249312871881125,0.01249312871881125
TXN_20170425,TXN,2017-04-25,0.0004731974182820784,0.22011833384464677,0.28491095924326404,0.005014762881649487,0.005014762881649487,0.013117021895727091,0.013117021895727091,0.0052134515518889885,0.0052134515518889885
VLO_20170425,VLO,2017-04-25,1.6060762933348474e-09,1.000000774863474,0.9999999972360774,-1.5579919804189352e-07,1.5579919804189352e-07,-1.5897297084440341e-07,1.5897297084440341e-07,-9.077357270324349e-08,9.077357270324349e-08
WRI_20170425,WRI,2017-04-25,1.2145513963047333e-09,0.9999997241493886,0.9999999976171974,-7.50992769351852e-08,7.50992769351852e-08,-5.200476562945483e-07,5.200476562945483e-07,-3.039093492099732e-07,3.039093492099732e-07
AVY_20170426,AVY,2017-04-26,3.85915676596061e-09,0.9999927131255841,0.9999999976768916,2.865739460439611e-07,2.865739460439611e-07,1.9496667031943925e-07,1.9496667031943925e-07,2.7519706801603294e-07,2.7519706801603294e-07
CPF_20170426,CPF,2017-04-26,4.1198995181113834e-10,1.0000001602532962,0.9999999971564713,-2.216076619480055e-07,2.216076619480055e-07,-1.4809541955664116e-07,1.4809541955664116e-07,-2.2393669555509236e-07,2.2393669555509236e-07
CUBI_20170426,CUBI,2017-04-26,0.00016150994511547482,1.731180596462511,0.2125379026061123,0.011127785712752707,0.011127785712752707,0.02103407610151487,0.02103407610151487,0.027636949115628796,0.027636949115628796
ECHO_20170426,ECHO,2017-04-26,-1.624340155654061e-09,1.000003865220574,0.9999999979165595,7.782016244188734e-08,7.782016244188734e-08,-6.137413427595353e-08,6.137413427595353e-08,7.70491364714956e-09,7.70491364714956e-09
FCF_20170426,FCF,2017-04-26,0.0010905917006146391,1.5064098601127283,0.2800301000829367,0.011887020821702994,0.011887020821702994,-0.02955882828771108,0.02955882828771108,-0.029530843868415327,0.029530843868415327
GD_20170426,GD,2017-04-26,-3.5812696428175195e-10,1.000001721868077,0.9999999973880433,-2.1976309762380616e-07,2.1976309762380616e-07,-6.978265932287842e-08,6.978265932287842e-08,2.078923196243386e-10,2.078923196243386e-10
HES_20170426,HES,2017-04-26,0.0005430077731497983,0.12288455747953206,0.10343077821097586,-0.0003472402516848423,0.0003472402516848423,-0.011841110234945947,0.011841110234945947,-0.014244827098828485,0.014244827098828485
HSY_20170426,HSY,2017-04-26,-2.0977088320507306e-09,1.0000030464132548,0.9999999978806118,-1.4337853176450178e-07,1.4337853176450178e-07,2.3352770488563063e-07,2.3352770488563063e-07,-1.3762334932743928e-07,1.3762334932743928e-07
LMAT_20170426,LMAT,2017-04-26,-9.637405876043752e-05,0.6968968031619965,0.060254211725851506,-0.014310059266874672,0.014310059266874672,-0.01901680014568172,0.01901680014568172,-0.02819836997711344,0.02819836997711344
MGLN_20170426,MGLN,2017-04-26,5.49892043249893e-09,0.9999869803518632,0.9999999968640529,-8.745083419968522e-08,8.745083419968522e-08,-4.202598496039645e-08,4.202598496039645e-08,4.66965465675687e-08,4.66965465675687e-08
MHO_20170426,MHO,2017-04-26,1.4007161444184318e-09,0.9999967646850331,0.9999999969739224,2.1781450661574695e-07,2.1781450661574695e-07,6.292826737453426e-08,6.292826737453426e-08,1.4011683546646773e-07,1.4011683546646773e-07
MKTX_20170426,MKTX,2017-04-26,-0.002106441903442043,1.5170686874523176,0.15360124582971582,-0.0017154454550575267,0.0017154454550575267,-0.022639802664878476,0.022639802664878476,-0.033657247862477785,0.033657247862477785
NSC_20170426,NSC,2017-04-26,8.060688314742714e-11,1.0000006127597973,0.999999997683882,2.584194997747036e-10,2.584194997747036e-10,2.3780213285725174e-09,2.3780213285725174e-09,1.1481695258181573e-09,1.1481695258181573e-09
O_20170426,O,2017-04-26,-4.990685419179602e-10,1.0000026805213167,0.9999999975150458,2.2309002689884644e-09,2.2309002689884644e-09,6.253472465767365e-09,6.253472465767365e-09,-7.328861699251255e-08,7.328861699251255e-08
ROK_20170426,ROK,2017-04-26,0.0007126511177917845,1.6405983039901433,0.39573510165908116,-0.0008045935224329681,0.0008045935224329681,-0.016399033698409914,0.016399033698409914,-0.0395647386249513,0.0395647386249513
SAH_20170426,SAH,2017-04-26,0.0013456137938481355,2.1357777552397614,0.09374208650512805,0.0022200593163448556,0.0022200593163448556,-0.004120386569052545,0.004120386569052545,-0.06654446802111479,0.06654446802111479
STX_20170426,STX,2017-04-26,0.0029025276390557816,2.052648295595888,0.17611147062095328,-0.16989600964821897,0.16989600964821897,-0.17006541683054885,0.17006541683054885,-0.17689194874572187,0.17689194874572187
SXT_20170426,SXT,2017-04-26,0.00012411071514884311,1.4992342722099874,0.10991699906471508,-0.016014036674410637,0.016014036674410637,-0.09802850199546984,0.09802850199546984,-0.124608063548181,0.124608063548181
UTHR_20170426,UTHR,2017-04-26,-3.2910822848420188e-09,1.0000055784126949,0.9999999974044356,-2.881248520571677e-07,2.881248520571677e-07,-5.246711064969909e-08,5.246711064969909e-08,-1.2933174573404472e-07,1.2933174573404472e-07
WRK_20170426,WRK,2017-04-26,0.0007096384713571928,0.17671865272565349,0.2963302851874483,-0.002471245127451737,0.002471245127451737,-0.003925452065493385,0.003925452065493385,-0.007519307016446144,0.007519307016446144
ALLE_20170427,ALLE,2017-04-27,-5.4004732735978196e-05,1.2464619591541626,0.32434812589623657,0.010298263969375034,0.010298263969375034,-0.026531664727268846,0.026531664727268846,-0.03420746939850419,0.03420746939850419
ATNI_20170427,ATNI,2017-04-27,2.4189203909211546e-09,0.9999962401133355,0.9999999981247392,1.484827360307816e-07,1.484827360307816e-07,2.188372149106426e-07,2.188372149106426e-07,4.469192630924884e-07,4.469192630924884e-07
BPFH_20170427,BPFH,2017-04-27,-0.0025920926529776215,1.3251379819460611,0.04058083705884592,-0.008864726525987802,0.008864726525987802,-0.004738933802759544,0.004738933802759544,0.016208153705557237,0.016208153705557237
CMCSA_20170427,CMCSA,2017-04-27,-5.383554131134505e-09,1.000008048105807,0.9999999975513216,1.4625538542051546e-07,1.4625538542051546e-07,1.5492544941711744e-07,1.5492544941711744e-07,-1.524372751926799e-07,1.524372751926799e-07
CMO_20170427,CMO,2017-04-27,7.520016928391424e-09,0.999997857362296,0.9999999972647502,-2.2734356599444366e-07,2.2734356599444366e-07,-2.0267720641543863e-08,2.0267720641543863e-08,-3.3539100360353456e-07,3.3539100360353456e-07
